request_id,companyname,url,title,date,company_relevance,environment_sentiment_score,environment_sentiment_reasoning,social_sentiment_score,social_sentiment_reasoning,governance_sentiment_score,governance_sentiment_reasoning,GHG_emissions,Air_quality,Energy_management,Water_wastewater_management,Waste_hazardous_management,Ecological_impact,Environmental_supply_chain,Materials_sourcing_efficiency,Physical_impacts_climate_change,Sustainable_Development_Goal_2,Sustainable_Development_Goal_6,Sustainable_Development_Goal_7,Sustainable_Development_Goal_9,Sustainable_Development_Goal_11,Sustainable_Development_Goal_12,Sustainable_Development_Goal_13,Sustainable_Development_Goal_14,Sustainable_Development_Goal_15,Human_rights_community,Customer_privacy,Data_security,Access_affordability,Product_quality_safety,Customer_welfare,Selling_practices_product_label,Labor_practices,Modern_slavery,Employee_health_safety,Employee_engagement_diversity,Gender_equality,Product_design_lifecycle,Social_supply_chain,Sustainable_Development_Goal_1,Sustainable_Development_Goal_3,Sustainable_Development_Goal_4,Sustainable_Development_Goal_5,Sustainable_Development_Goal_8,Sustainable_Development_Goal_10,Business_model_resilience,Governance_structures,Business_ethics,Competitive_behavior,Management_legal_regulatory,Risk_management,Coronavirus,Sustainable_Development_Goal_16,Sustainable_Development_Goal_17,Controversial_weapons
52385,"Tesla, Inc.",https://t.co/Fkdopyku9m,Yahoo Finance,2023-02-25,100,0.0,"The article does not mention any specific information about Tesla's environmental impact or initiatives, so the sentiment score is neutral (0).",0.0,"The article does not provide any information about Tesla's social impact or reputation, so the sentiment score is neutral (0).",0.0,"The article does not discuss Tesla's governance practices or reputation, so the sentiment score is neutral (0).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52385,"Tesla, Inc.",https://t.co/ZSdYvKjjHo,Yahoo Finance,2023-02-25,80,0.0,"The article does not mention any specific environmental actions or initiatives by Tesla, so the sentiment score is neutral.",-0.5,"The article mentions Gerber leaving Tesla's board, which could be seen as a negative social sentiment towards the company.",-0.5,"The article mentions Gerber leaving Tesla's board and his statement about the company creating its 'own voice,' which could be seen as a negative sentiment towards Tesla's governance.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52386,"Tesla, Inc.",https://www.reuters.com/business/autos-transportation/catls-price-war-shows-its-power-chinas-ev-edge-2023-02-26/,"Analysis: CATL's 'price war' shows its power, and China's EV edge",2023-02-26,100,0.2,"The article mentions that CATL, the world's largest battery maker, has offered discounted prices on batteries to Chinese automakers, which could lead to lower prices for electric vehicles. This suggests a positive sentiment towards the environmental impact of electric vehicles and the potential for increased adoption. However, there is no specific mention of Tesla's environmental impact or initiatives in the article, resulting in a neutral sentiment score.",0.1,"The article mentions that CATL has faced pushback from Chinese automakers for its market dominance and pricing. However, there is no specific mention of Tesla's social impact or controversies in the article, resulting in a neutral sentiment score.",0.1,"The article mentions that CATL has faced pushback from Chinese automakers for its market dominance and pricing. However, there is no specific mention of Tesla's governance practices or controversies in the article, resulting in a neutral sentiment score.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52386,"Tesla, Inc.",https://www.theguardian.com/us-news/2023/feb/26/amazon-trader-joes-starbucks-anti-union-measures,Old-school union busting: how US corporations are quashing the new wave of organizing,2023-02-26,100,0.0,"The article does not mention any specific environmental actions or initiatives by Tesla, so there is no sentiment score related to the environment.",-0.5,"The article mentions Tesla firing dozens of workers in retaliation for union activity, which can be seen as negative from a social perspective.",-0.5,"The article mentions Tesla firing workers in retaliation for union activity, which can be seen as negative from a governance perspective.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52386,"Tesla, Inc.",https://www.reuters.com/lifestyle/science/spacex-set-launch-next-international-space-station-crew-nasa-2023-02-26/,SpaceX set to launch next International Space Station crew for NASA,2023-02-26,80,0.0,"The article does not mention any specific environmental actions or initiatives by Tesla, so the sentiment score is neutral.",0.0,"The article does not provide any information about Tesla's social impact or initiatives, so the sentiment score is neutral.",0.0,"The article does not provide any information about Tesla's governance practices, so the sentiment score is neutral.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52387,"Tesla, Inc.",https://t.co/Au5q9LfkWo,Liam Denning,2023-02-27,100,0.0,The article does not mention any specific environmental aspects or sentiments related to Tesla.,0.0,The article does not mention any specific social aspects or sentiments related to Tesla.,0.0,The article does not mention any specific governance aspects or sentiments related to Tesla.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52387,"Tesla, Inc.",https://www.cnbc.com/2023/02/27/stocks-making-the-biggest-moves-midday-unp-fsr-tsla-z-and-more.html,"Stocks making the biggest moves midday: Union Pacific, Fisker, Tesla, Zillow and more",2023-02-27,80,0.2,"The article mentions that Tesla's stock rose 4% following a report that the company's Germany plant hit a production rate of 4,000 vehicles per week ahead of schedule. This positive news about Tesla's production capabilities contributes to a slightly positive environmental sentiment score.",0.0,"There is no specific mention of Tesla's social impact or reputation in the article, so the social sentiment score is neutral.",0.0,"There is no specific mention of Tesla's governance or leadership in the article, so the governance sentiment score is neutral.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52387,"Tesla, Inc.",https://www.reuters.com/business/autos-transportation/bidens-ev-highway-takes-shape-2023-02-27/,Explainer: Biden's EV highway takes shape,2023-02-27,100,0.5,"The article mentions that the chargers are a critical piece of President Joe Biden's climate policy, indicating a positive sentiment towards environmental impact.",0.5,"The article mentions that all models of electric vehicles, including Tesla's SuperChargers, will be able to hook into the federally-funded chargers, indicating a positive sentiment towards social accessibility.",0.0,No sentiment towards Tesla's governance is mentioned in the article.,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
52387,"Tesla, Inc.",https://www.reuters.com/business/autos-transportation/nissan-plans-build-second-us-battery-plant-gupta-says-2023-02-27/,Nissan raises global EV targets; to boost U.S. input,2023-02-27,80,0.2,"The article mentions that Nissan aims to have electrified vehicles make up over 55% of global sales by fiscal 2030, indicating a positive sentiment towards electric vehicles. However, it also mentions that Nissan has struggled alongside many legacy automakers in the face of increasing competition from newer automakers like Tesla, suggesting a slightly negative sentiment.",0.1,"The article does not provide significant information about Tesla's social impact, so the sentiment score is neutral.",0.2,"The article mentions Nissan's plans to boost power train production in the United States, indicating a positive sentiment towards expanding operations. However, it also mentions that Nissan has struggled to catch up with newer automakers like Tesla, suggesting a slightly negative sentiment.",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52387,"Tesla, Inc.",https://www.reuters.com/legal/tesla-musk-sued-by-shareholders-over-self-driving-safety-claims-2023-02-27/,"Tesla, Musk sued by shareholders over self-driving safety claims",2023-02-27,100,0.0,"The article does not mention any specific environmental impact or initiatives related to Tesla, so the sentiment score is neutral (0).",-0.5,"The article reports on a lawsuit filed by shareholders against Tesla and its CEO Elon Musk, alleging that they overstated the effectiveness and safety of their technologies. This negative news about the company's actions and potential safety risks contributes to a negative social sentiment score (-0.5).",-0.5,"The article reports on a lawsuit filed by shareholders against Tesla and its CEO Elon Musk, alleging that they defrauded shareholders with false and misleading statements. This negative news about the company's governance practices contributes to a negative governance sentiment score (-0.5).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52387,"Tesla, Inc.",https://t.co/4ogMDZKzO8,Bloomberg Opinion,2023-02-27,100,0.0,The article does not mention any specific environmental aspects or sentiments related to Tesla.,0.0,The article does not mention any specific social aspects or sentiments related to Tesla.,0.0,The article does not mention any specific governance aspects or sentiments related to Tesla.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52387,"Tesla, Inc.",https://www.theguardian.com/technology/2023/feb/27/elon-musk-tesla-lawsuit-autopilot,"Elon Musk overstated Teslas autopilot and self-driving tech, new lawsuit says",2023-02-27,100,-0.5,"The article mentions that Tesla's technologies, specifically the autopilot and full self-driving technologies, are suspected as a possible cause of multiple fatal crashes, creating a serious risk of accident and injury. This negative sentiment towards Tesla's technologies contributes to the negative environmental sentiment score.",-0.2,"The article mentions lawsuits filed by shareholders against Elon Musk and Tesla, including allegations of misleading information and exorbitant pay packages. These negative sentiments towards Musk and Tesla's actions contribute to the slightly negative social sentiment score.",-0.1,"The article mentions lawsuits filed against Elon Musk and Tesla regarding the impact of Musk's decisions on company shares. While there is some negative sentiment towards Musk's actions, it is not the main focus of the article, resulting in a slightly negative governance sentiment score.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
